,day,research,arabic,book,teaching,service,other,freethink,total,time,activities,Sleep,Exercise,
GOALS,,25,1,1,10,5,5,3,50,,,,,
1/4/2015,S,5.7,1.15,,,,0.1,,6.95,11:00:00,psparadox,00:53-7:09,surf,
1/5/2015,M,12.65,0.5,,0.15,,0.15,,13.45,12:35:00,"psparadox, decap",23:00-8:15,"200 pushups, run, skate",
1/6/2015,T,8.5,0.8,,,3,0.75,0.6,13.65,12:48:00,"grades meeting, decap, psparadox",00:59-8:20,200 pushups,
1/7/2015,W,7,0.5,,,2.5,2.5,0.25,12.75,11:50:00,"meeting w xxxx, psparadox, demaid",00:55-8:15,200 pushups,
1/8/2015,Th,4.25,,,,5.45,2.25,0.5,12.45,12:00:00,"demaid, muslim int rejected, goals, adcom ",00:00-8:15,200 pushups,
1/9/2015,F,0.6,,,,6.65,,,7.25,11:42:00,"adcom, syria FA article",00:30-8:25,200 pushups,
1/10/2015,S,0.1,,,,6.1,,,6.2,5:00:00,adcom ,00:15-8:45,200 pushups ,
TOTAL ,,38.8,2.95,0,0.15,23.7,5.75,1.35,72.7,,,,,
,,1.55,2.95,0,0.02,4.74,1.15,0.45,1.45,,,,,
,,,,,,,,,,,,,,
GOALS,,25,1,1,10,5,5,3,50,,,,,
12/28/2014,S,1.6,,,0.6,,0.5,,2.7,8:00:00,"emails, scope and methods stuff",,200 pushups,
12/29/2014,M,4.85,0.8,,0.15,2.25,1.4,0.75,10.2,12:33:00,"demdrain NSF, odds and ends, EJIR review",,"200 pushups, run, skate",
12/30/2014,T,6.2,,,,2.65,1,1.25,11.1,12:45:00,"EJIR review, comptxt replication, decap",,200 pushups,
12/31/2014,W,6.7,1.65,,,,,,8.35,9:00:00,"iraqclerics, psparadox",,"200 pushups, run, skate",
1/1/2015,Th,6,2.6,,0.25,,,0.45,9.3,12:00:00,"psparadox, decap",,"200 pushups, run, skate",
1/2/2015,F,7.65,1.75,,0.15,,1,0.25,10.8,11:30:00,"decap, demdrain NSF, psparadox", 00:30-8:15,"200 pushups, skate",
1/3/2015,S,4.35,1,,0.15,,,,5.5,6:35:00,"psparadox, decap",11:45-9:15,"200 pushups, skate",
TOTAL ,,37.35,7.8,0,1.3,4.9,3.9,2.7,57.95,,,,,
,,1.49,7.8,0,0.13,0.98,0.78,0.9,1.16,,,,,
,,,,,,,,,,,,,,
GOALS,,20,1,1,5,1,5,3,36,,,,,
12/21/2014,S,4,,,,,,,4,12midnight,demdrain NSF,,200 pushups,
12/22/2014,M,6.2,,,1.3,,0.25,,7.75,11:35:00,"demdrain NSF, scope and methods grades",,200 pushups ,
12/23/2014,T,3.5,,,0.5,,0.1,,4.1,2:00:00,demdrain NSF,,200 pushups ,
12/24/2014,W,,,,,,,,0,,travel home from texas,,200 pushups ,
12/25/2014,Th,,,,,,,,0,,christmas dinner at hadleys,,200 pushups ,
12/26/2014,F,,,,,,,,0,,skating w Dan,,"200 pushups, run, skate",
12/27/2014,S,,0.5,,2.25,,1,,3.75,10:45:00,,,"200 pushups, run",
TOTAL ,,13.7,0.5,0,4.05,0,1.35,0,19.6,,,,,
,,0.69,0.5,0,0.81,0,0.27,0,0.54,,,,,
,,,,,,,,,,,,,,
GOALS,,15,1,1,10,1,10,3,41,,,,,
12/14/2014,S,,,,1.8,,0.9,,2.7,6:46:00,grading,,200 pushups ,
12/15/2014,M,3.25,,,0.5,,3.1,0.25,7.1,6:48:00,Syria couhes ,,200 pushups ,
12/16/2014,T,7.4,0.5,,1.25,,1.5,0.5,11.15,11:51:00,"Iraqi clerics couhes, jihad means",,200 pushups,
12/17/2014,W,3,,,0.3,,,0.4,3.7,3:05:00,jihad means,,"200 pushups, run",
12/18/2014,Th,1.85,,,2.8,,,0.5,5.15,11:45:00,"flight to Texas, 426 prep",,200 pushups ,
12/19/2014,F,1.1,0.5,,0.1,,0.25,4.35,6.3,1:30:00,"demdrain NSF, stapel book",,200 pushups ,
12/20/2014,S,4.1,,,,,,,4.1,4:07:00,demdrain NSF ,,"100 pushups, run",
TOTAL ,,20.7,1,0,6.75,0,5.75,6,40.2,,,,,
,,1.38,1,0,0.68,0,0.58,2,0.98,,,,,
,,,,,,,,,,,,,,
GOALS,,25,5,3,6,1,15,3,58,,,,,
12/7/2014,S,11.9,,,,,,0.5,12.4,430am,decap,,200 pushups,
12/8/2014,M,6.65,,,2.2,,1.65,1.4,11.9,11:50:00,"decap, iraqi clerics",,200 pushups,
12/9/2014,T,8.25,,,0.85,,1.9,0.75,11.75,12:10:00,"decap, iraqi clerics",,200 pushups,
12/10/2014,W,8.55,,,2.25,,1.35,0.75,12.9,11:45:00,"decap, lunch w xxxx",,200 pushups,
12/11/2014,Th,4.25,1,,0.75,,1.85,0.5,8.35,10:15:00,"decap, holiday party",,surf,
12/12/2014,F,0.2,2,,0.75,,1,0.6,4.55,10:00:00,got crown acceptance,,surf,
12/13/2014,S,0.25,,,2.65,,0.25,,3.15,12:00:00,grading,,200 pushups,
TOTAL ,,40.05,3,0,9.45,0,8,4.5,65,,,,,
,,1.6,0.6,0,1.58,0,0.53,1.5,1.12,,,,,
,,,,,,,,,,,,,,
GOALS,,20,5,5,10,1,15,3,59,,,,,
11/30/2014,S,2,,,0.75,,0.75,0.25,3.75,9:30:00,Orsi book,,200 pushups,
12/1/2014,M,1.85,,,4.25,,3.85,0.5,10.45,11:15:00,EMIR syllabus finalized,,"200 pushups, run",
12/2/2014,T,5,,0.15,2.65,,3.75,0.5,12.05,9:15:00,"demdrain, ethics, sovereignty, PVD faculty lunch",,200 pushups ,
12/3/2014,W,0.25,1.2,,2,1.5,4.75,0.5,10.2,10:30:00,"lunch w xxxx, dinner w xxxx",,surf,
12/4/2014,Th,2.45,,,4,,4.5,1,11.95,10:30:00,"met xxxx at couhes, ",,200 pushups,
12/5/2014,F,7.25,,,,,2.15,1,10.4,9:30:00,"Crown center interview, sovereignty, decap",,200 pushups ,
12/6/2014,S,4.6,,,,,,0.5,5.1,12:30:00,decap,,climbing,
TOTAL ,,23.4,1.2,0.15,13.65,1.5,19.75,4.25,63.9,,,,,
,,1.17,0.24,0.03,1.37,1.5,1.32,1.42,1.08,,,,,
,,,,,,,,,,,,,,
GOALS,,10,5,3,1,5,35,3,62,,,,,
11/23/2014,S,,,,0.25,,12.25,0.25,12.75,7:00:00,MESA,,200 pushups,
11/24/2014,M,,,1,,,13,0.25,14.25,1am,MESA,,,
11/25/2014,T,1,,1,0.25,3.75,3.85,0.5,10.35,9:40:00,"xxxx defense, lunch w xxxx ",,200 pushups,
11/26/2014,W,,,,,3,0.15,,3.15,4:30:00,BJPS review,,200 pushups,
11/27/2014,Th,,,,,,,,0,,thanksgiving,,surf,
11/28/2014,F,1,,,,3.5,0.35,0.25,5.1,9:35:00,"JPR review, xxxx letter",,200 pushups ,
11/29/2014,S,,,,0.15,,0.25,,0.4,6:12:00,,,200 pushups ,
TOTAL ,,2,0,2,0.65,10.25,29.85,1.25,46,,,,,
,,0.2,0,0.67,0.65,2.05,0.85,0.42,0.74,,,,,
,,,,,,,,,,,,,,
GOALS,,17,5,8,7,5,10,3,55,,,,,
11/16/2014,S,2.25,,,2.25,,0.25,0.25,5,10:30:00,comptxt,,175 pushups ,
11/17/2014,M,6.1,0.4,,1.95,,0.85,0.25,9.55,11:49:00,"comptxt, demdrain, ethics",,200 pushups,
11/18/2014,T,11.5,,,0.75,,0.25,,12.5,10:20:00,comptxt,,200 pushups,
11/19/2014,W,0.25,0.6,,3.8,,4.4,,9.05,5:55:00,muslim int resubmit,,200 pushups ,
11/20/2014,Th,,0.25,,8.75,1.25,1.25,,11.5,10:30:00,syllabus prep,,200 pushups,
11/21/2014,F,0.75,0.25,,4.65,,3.5,0.5,9.65,9:45:00,meetings and crap,,200 pushups ,
11/22/2014,S,,,,1,,9,,10,12:00:00,"xxxx paper, MESA",,100 pushups,
TOTAL ,,20.85,1.5,0,23.15,1.25,19.5,1,67.25,,,,,
,,1.23,0.3,0,3.31,0.25,1.95,0.33,1.22,,,,,
,,,,,,,,,,,,,,
GOALS,,17,5,8,7,5,10,3,55,,,,,
11/9/2014,S,4.9,0.1,,2.6,0.3,0.4,,8.3,3:50:00,"total talk, graded xxxx's draft, outstitute book",late!,200 pushups,
11/10/2014,M,0.5,0.1,,2.25,3.75,0.8,0.75,8.15,9:30:00,"outstitute book, total talk",,200 pushups,
11/11/2014,T,0.5,,,1.9,,,,2.4,10:50:00,"parents in town, chat w Dan about outstitute book",,"surf, 50 pushups ",
11/12/2014,W,0.25,,,2,,0.5,0.5,3.25,8:35:00,,,100 pushups ,
11/13/2014,Th,0.25,,,4.25,1.5,2.25,0.3,8.55,12:05:00,faculty meeting,,225 pushups,
11/14/2014,F,2,0.45,,2.5,,3.25,,8.2,11:40:00,demdrain,,surf,
11/15/2014,S,,,,4.25,,0.5,,4.75,9:30:00,long memo comments,,200 pushups ,
TOTAL ,,8.4,0.65,0,19.75,5.55,7.7,1.55,43.6,,,,,
,,0.49,0.13,0,2.82,1.11,0.77,0.52,0.79,,,,,
,,,,,,,,,,,,,,
GOALS,,17,5,8,7,5,10,3,55,,,,,
11/2/2014,S,,2.9,,1.6,0.25,3.35,,8.1,11:40:00,"teaching prep, email cleanup",,"surf, 50 pushups",
11/3/2014,M,0.8,0.55,1.75,1.9,1.5,5.7,,12.2,10:05:00,comments for xxxx,,200 pushups,
11/4/2014,T,4,0.55,2.5,0.5,1.75,2.55,,11.85,10:50:00,"psparadox,  lunch w alisha holland, al-naba ",,200 pushups,
11/5/2014,W,3.5,0.6,3.2,3.55,0.5,1.05,0.25,12.65,11:10:00,"xxxx talk, al-naba, disambiguation",,200 pushups,
11/6/2014,Th,,0.7,7,2.75,,2,0.45,12.9,11:40:00,disambiguation,,200 pushups,
11/7/2014,F,0.4,,0.5,2.65,2.9,3.25,,9.7,11:10:00,"total talk, parent-teacher conference",,,
11/8/2014,S,0.5,,,0.7,,0.25,,1.45,10:50:00,,,"hike, 50 pushups",
TOTAL ,,9.2,5.3,14.95,13.65,6.9,18.15,0.7,68.85,,,,,
,,0.54,1.06,1.87,1.95,1.38,1.82,0.23,1.25,,,,,
,,,,,,,,,,,,,,
GOALS,,15,5,3,7,15,10,3,58,,,,,
10/26/2014,S,1.75,1.5,,4.25,,,,7.5,12:30:00,Comptxt,,200 pushups,
10/27/2014,M,4,0.3,,4.7,,2.5,0.75,12.25,11:30:00,"ILSP app, daily scrapes, xxxx paper",,125 pushups,
10/28/2014,T,,0.15,7.35,0.75,1,1.25,0.25,10.75,9:55:00,disambiguation,,200 pushups,
